leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,1.53412136389,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,0,0,34,,,,,,,,,,,2,2.55182437075,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,1,1,24,,,,,,,,,,,2,3.0013911727,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,2,2,46,,,,,,,,,,,2,2.33422760683,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,3,3,22,,,,,,,,,,,2,2.26791006548,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,4,4,28,,,,,,,,,,,2,1.66798246989,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,5,5,49,,,,,,,,,,,1,2.63453274418,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,6,6,41,,,,,,,,,,,2,1.88454977225,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,7,7,47,,,,,,,,,,,1,2.50144015765,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,8,8,21,,,,,,,,,,,1,2.35227708501,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,9,9,6,,,,,,,,,,,2,2.48515475984,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,10,10,25,,,,,,,,,,,2,3.43504641752,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,11,11,14,,,,,,,,,,,1,1.98453661631,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,12,12,8,,,,,,,,,,,2,2.73563426809,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,13,13,44,,,,,,,,,,,2,1.55151646532,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,14,14,0,,,,,,,,,,,1,2.76836679189,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,15,15,18,,,,,,,,,,,2,2.63540483185,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,16,16,45,,,,,,,,,,,1,1.15101734747,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,17,17,3,,,,,,,,,,,2,1.76789902442,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,18,18,1,,,,,,,,,,,1,2.35153500189,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,19,19,16,,,,,,,,,,,1,3.61848029704,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,20,20,48,,,,,,,,,,,2,1.6679261761,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,21,21,20,,,,,,,,,,,2,2.7518748797,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,22,22,39,,,,,,,,,,,2,2.78455701895,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,23,23,7,,,,,,,,,,,1,1.83487125358,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,24,24,15,,,,,,,,,,,1,1.71756643994,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,25,25,29,,,,,,,,,,,2,3.61894464324,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,26,26,42,,,,,,,,,,,1,1.85167293728,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,27,27,35,,,,,,,,,,,2,2.65213124978,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp13,19,60.0012130047,f,001,2018_Feb_27_1303,
