leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,2.11718196236,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,0,0,46,,,,,,,,,,,1,3.35202547349,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,1,1,45,,,,,,,,,,,1,2.38471010048,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,2,2,9,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,3,3,35,,,,,,,,,,,1,2.58458924014,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,4,4,41,,,,,,,,,,,1,3.36877770629,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,5,5,33,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,6,6,5,,,,,,,,,,,1,2.78494547773,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,7,7,48,,,,,,,,,,,1,1.93448674493,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,8,8,2,,,,,,,,,,,1,3.06847287994,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,9,9,17,,,,,,,,,,,2,3.8517905008,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,10,10,38,,,,,,,,,,,1,2.95201122947,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,11,11,36,,,,,,,,,,,1,2.45160955191,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,12,12,24,,,,,,,,,,,2,2.30112528615,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,13,13,6,,,,,,,,,,,1,3.21827291138,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,14,14,31,,,,,,,,,,,2,3.21820511017,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,15,15,47,,,,,,,,,,,2,2.50134405401,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.916459609,1,001,2018_Nov_28_1126,
