leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,2.06727391388,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,0,0,22,,,,,,,,,,,1,2.48513516597,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,1,1,5,,,,,,,,,,,2,1.26775797922,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,2,2,19,,,,,,,,,,,2,1.1677167071,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,3,3,39,,,,,,,,,,,2,1.11899393983,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,4,4,44,,,,,,,,,,,1,1.73451181315,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,5,5,14,,,,,,,,,,,1,1.78458967526,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,6,6,18,,,,,,,,,,,1,1.23385137133,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,7,7,17,,,,,,,,,,,2,1.48459555395,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,8,8,47,,,,,,,,,,,1,1.11774521228,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,9,9,49,,,,,,,,,,,1,1.30119028781,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,10,10,42,,,,,,,,,,,2,1.3346390808,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,11,11,25,,,,,,,,,,,2,1.86792318989,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,12,12,20,,,,,,,,,,,1,1.61745892186,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,13,13,30,,,,,,,,,,,1,1.35108651686,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,14,14,43,,,,,,,,,,,2,1.56816792861,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc15,18,59.9641735698,0,001,2018_Dec_07_1105,
