leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,2.000912522,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,0,0,23,,,,,,,,,,,2,2.701255854,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,1,1,15,,,,,,,,,,,2,1.750687269,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,2,2,32,,,,,,,,,,,1,1.63419571,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,3,3,43,,,,,,,,,,,2,1.634009722,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,4,4,42,,,,,,,,,,,2,1.967462382,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,5,5,2,,,,,,,,,,,1,1.800766842,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,6,6,0,,,,,,,,,,,1,1.433943973,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,7,7,7,,,,,,,,,,,2,1.200701778,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,8,8,24,,,,,,,,,,,2,1.500903348,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,9,9,44,,,,,,,,,,,1,2.284171777,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,10,10,18,,,,,,,,,,,1,1.634022473,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,11,11,25,,,,,,,,,,,2,1.917475802,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc24,18,59.9052216,0,1,2019_Feb_13_1112
