choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,10.56298715,None,space,6.874857983,10.56298715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
,,,,,,,,,,,,17.46467636,None,space,5.956984813,17.46467636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
,,,,,,,,,,,,,,,,,,23.44978156,23.44978156,space,24.89132621,23.44978156,None,,,,,,,,,,,,,,,,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
,,,,,,,,,,,,,,,,,,,,,,,,48.35702612,48.35702612,space,35.1993473,48.35702612,None,,,,,,,,,,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
"Playing a videogame at home",NS,0,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,84.46729137,None,$0.02 ,19.887,0.738292399,None,None,84.46729137,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
"Planting flowers in a garden",NS,0,1,1,67,,,,,,,,,,,,,,,,,,,,,,,,,104.4062324,None,$0.02 ,5.626,0.03272247,None,None,104.4062324,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
Having hundreds of friends on Facebook,SM,0,2,2,59,,,,,,,,,,,,,,,,,,,,,,,,,110.0912184,None,$0 ,3.036,0.03625093,None,None,110.0912184,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
Reading a book,NS,0,3,3,92,,,,,,,,,,,,,,,,,,,,,,,,,113.1761512,None,$0.05 ,2.917,0.028559539,None,None,113.1761512,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
Taking a nap,NS,0,4,4,74,,,,,,,,,,,,,,,,,,,,,,,,,116.1451384,None,$0.05 ,2.099,0.029463347,None,None,116.1451384,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
"Talking to a friend over Skype",SM,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,118.3103092,None,$0.04 ,2.704,0.034809689,None,None,118.3103092,None,,,,,,,10,1,2020_Jan_10_1322,choiceText,3.1.2,59.98539209
