leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,6.70220600907,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,0,0,49,,,,,,,,,,,2,1.6682762811,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,1,1,8,,,,,,,,,,,2,2.60114367027,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,2,2,44,,,,,,,,,,,2,2.41824012529,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,3,3,31,,,,,,,,,,,2,3.35124031827,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,4,4,1,,,,,,,,,,,2,2.81803728035,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,5,5,34,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,6,6,3,,,,,,,,,,,1,2.96806513192,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,7,7,32,,,,,,,,,,,2,2.45110586565,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,8,8,22,,,,,,,,,,,2,2.06761188712,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,9,9,37,,,,,,,,,,,1,1.90122238826,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,10,10,19,,,,,,,,,,,1,1.7179916543,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,11,11,21,,,,,,,,,,,1,1.60095363902,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,12,12,33,,,,,,,,,,,2,2.20133189717,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,13,13,23,,,,,,,,,,,2,2.21773179946,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,14,14,0,,,,,,,,,,,2,3.20159408404,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,15,15,45,,,,,,,,,,,1,3.06800781144,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,16,16,35,,,,,,,,,,,1,1.95108891558,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,17,17,14,,,,,,,,,,,2,1.93490485847,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,18,18,47,,,,,,,,,,,1,3.55172407348,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,19,19,9,,,,,,,,,,,2,2.0014042398,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,20,20,27,,,,,,,,,,,2,2.05080206506,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,21,21,24,,,,,,,,,,,2,2.20093130786,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,22,22,26,,,,,,,,,,,1,3.40171706025,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,23,23,2,,,,,,,,,,,1,2.86836628895,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,24,24,39,,,,,,,,,,,2,1.65182195045,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,25,25,11,,,,,,,,,,,2,2.91857462376,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,26,26,15,,,,,,,,,,,2,2.1510585607,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,27,27,18,,,,,,,,,,,1,2.95165341068,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,28,28,13,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,29,29,30,,,,,,,,,,,2,3.05161164096,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,30,30,46,,,,,,,,,,,1,2.85151634552,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,31,31,20,,,,,,,,,,,1,2.36738487612,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,32,32,7,,,,,,,,,,,1,2.23428969877,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,33,33,41,,,,,,,,,,,2,1.6176160397,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,34,34,38,,,,,,,,,,,2,2.93454781175,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,35,35,36,,,,,,,,,,,1,1.86773648066,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,36,36,10,,,,,,,,,,,2,3.03536444763,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,37,37,40,,,,,,,,,,,1,3.36827967083,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,38,38,17,,,,,,,,,,,2,2.21797999134,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc23,22,60.0424837848,0,001,2019_Feb_07_1521,
